,penalty,C-USS,C-UPP,C-ZS,C-ZP,C-BETAS,C-BETAP,C-ALP,C-GSS,C-GPP,C-GSP,C-GP2,C-HSP,C-EHEAT,H-USS,H-ZS,H-BETAS,H-ALP,H-GSS,H-EHEAT,N-USS,N-UPP,N-ZS,N-ZP,N-BETAS,N-BETAP,N-ALP,N-GSS,N-GPP,N-GSP,N-GP2,N-HSP,N-EHEAT,O-USS,O-UPP,O-ZS,O-ZP,O-BETAS,O-BETAP,O-ALP,O-GSS,O-GPP,O-GSP,O-GP2,O-HSP,O-EHEAT
8,57.5352288745929,0.768470440432635,0.8587516346820216,-0.5003094068769343,0.5561155920709353,-0.31814214870496993,0.48118870416964565,0.8115433622085195,-0.4421741928263374,-0.6620889280316626,-0.7459695622301319,0.5912572672995515,-0.8702450010050949,-0.104933847889227,0.15831314327513168,0.8176447397214353,-0.315948191034767,-0.6716929937377316,-0.08440909117338014,-0.39393618219438564,-0.6349647593901301,0.9857774367211105,0.969719353409294,-0.36637274762905747,-0.2505120673231267,0.7889994913418035,0.27340847978613936,0.61628100164114,-0.8658379392752571,-0.9618192377728983,-0.3289303903283496,0.7340615954918461,-0.8173630978359203,-0.3491997275481229,0.56950108724959,-0.7127164933610668,0.8574975309242974,0.597046886595215,-0.6039830557813302,-0.8936272365245369,0.5721148579505482,-0.8324683195580787,0.3227916812824514,-0.10410855585648993,0.9426996186250451,-0.18614798754735107
48,69.81105038708336,-0.7655639562487401,-0.8122856162030905,0.057505913383486984,0.10270519430443614,-0.06779786050714576,-0.14179044512577132,-0.6073321127471738,-0.7901510285180446,-0.5557394215617534,-0.4582800761238047,0.6241831019049942,-0.407793460839489,-0.8289312967890623,-0.06339812395254685,0.5911150312454547,-0.22245305748968547,0.02757855823671229,0.03193413933196476,-0.07177469721383611,-0.6271968660467361,-0.17057539358023543,-0.7166917110018511,-0.3197494720873896,0.42901190865540806,-0.3384060669294493,-0.07154070214625718,-0.6448502161669173,-0.3664522939086674,-0.7472971185253335,-0.48955932039432426,-0.6389301273887642,0.6669763516994527,0.8896362027966336,-0.555798575275821,0.4657192899388498,0.041726973234763154,0.9714607984003543,0.3600955374014254,-0.009304487333928968,0.19663572343031155,0.13815987316393952,0.7256782829202204,0.016358490270208526,0.2500761365026838,-0.9608116576164416
17,90.24972974419147,-0.7655639562487401,-0.5895019147493799,0.057505913383486984,-0.44806185288300016,-0.06779786050714576,0.6997963509063159,-0.6567310921242585,-0.3636908283856214,-0.29581242365190275,-0.4582800761238047,0.6241831019049942,-0.407793460839489,-0.8902011289508607,0.49306361398341814,0.1372154426305623,-0.22245305748968547,0.7202149867508085,-0.44869198172277913,0.09848793415752288,-0.03192369778921833,-0.3636284093397545,-0.7166917110018511,-0.3197494720873896,0.42901190865540806,-0.3384060669294493,-0.7282233663542568,-0.6448502161669173,-0.3664522939086674,-0.8707057993399936,0.35812339699947193,0.14201218704551422,0.6669763516994527,0.8896362027966336,-0.555798575275821,0.2770914599512122,0.041726973234763154,0.09378249772350689,0.3600955374014254,-0.6298546091480635,0.7320328269814731,-0.026581882495224973,0.8465596220156502,0.016358490270208526,0.5354862632780117,-0.3777559529314892
5,104.04785130733427,0.9842961447730576,0.5668086124388609,0.17750661770274223,0.8909944026254615,-0.9498976764642533,-0.5284985363882937,-0.9480951191057903,-0.7723275748789765,-0.11105819346416634,-0.9936169132516834,0.7314421777495639,0.3053020547247898,-0.34405553305052416,-0.9676881416855501,0.785592464597249,0.32850894448907675,-0.2639345471300305,0.9969445543276554,0.5346233013139559,-0.3551936850374473,-0.5443966343063793,0.19458186731214333,0.031720830784127685,0.517948373933661,-0.3392386006604261,0.19226843747361722,0.4666646558879344,-0.5190078811822982,0.9290964623403206,-0.4102522392819833,-0.7595156952064966,-0.019123636149172007,0.6118317246959666,-0.795199547797844,0.8769673918012737,-0.29484660075637126,-0.7825357350883084,0.3551951121714221,-0.046591272640279735,0.12924804003429613,0.9170217345301697,-0.9361147252856639,0.5429370850232946,-0.5560284381921164,-0.7664214611715953
29,115.9315216190737,-0.9719407123124395,0.15058103015550928,0.057505913383486984,0.13583100120873914,-0.06779786050714576,-0.12245819730337748,-0.6567310921242585,0.5001120200748952,0.19888867753228,-0.4582800761238047,0.0801065844356863,-0.407793460839489,-0.8902011289508607,0.49306361398341814,0.1372154426305623,-0.22245305748968547,0.7202149867508085,0.3804542999084073,0.09848793415752288,-0.03192369778921833,-0.3636284093397545,-0.7166917110018511,-0.3197494720873896,0.42901190865540806,-0.3384060669294493,-0.796486980433506,-0.43309981334750014,0.3783805380201577,-0.942456474520052,-0.05293673115329289,0.14201218704551422,0.9772229853627681,0.7067290682968439,-0.555798575275821,0.2770914599512122,-0.46481299658166275,0.8942194809036115,0.5219849330793109,0.02905794556624408,0.7320328269814731,0.8458436042484896,0.3469537085628909,0.020912278980500965,0.5354862632780117,-0.3777559529314892
47,124.9387789269066,-0.11519419012610088,0.6613494090703105,-0.5003094068769343,-0.21020822593434385,-0.31814214870496993,0.48118870416964565,0.1384571313224563,-0.07486417661401368,-0.3668105117805417,-0.19367887466772848,0.5912572672995515,-0.8702450010050949,0.03462137668666809,0.15831314327513168,0.4041858557722273,-0.8083252623903522,-0.8711777697710644,-0.798427099819547,-0.31365671347306723,-0.7494300271443066,0.9857774367211105,0.969719353409294,-0.36637274762905747,-0.2505120673231267,0.7889994913418035,0.46790930716237167,0.61628100164114,-0.8658379392752571,-0.04621334197543436,-0.3289303903283496,-0.08276855781822845,-0.8173630978359203,-0.2258938966538513,0.56950108724959,-0.42623254841084757,0.9556613750182534,0.597046886595215,-0.6039830557813302,-0.770076963462961,0.5721148579505482,-0.8324683195580787,-0.06583925708746796,-0.10410855585648993,0.9426996186250451,0.286520314944519
6,136.61146817456165,0.18619457311412435,0.15167095940491815,0.27709314342648117,-0.7247661462282944,-0.05316628709111937,0.25190321174405983,0.28687667163092767,0.26576167612803947,0.880833624389477,0.6752816467413043,-0.08164918788102038,0.994797038100858,0.13920201834806156,-0.2192024569615929,0.14373869784870252,0.6374612015075822,-0.8991369534355476,0.1856571052021052,0.1168717246427875,-0.5369259416429828,0.27534220528293885,-0.9054106524140946,0.7094140980996466,0.15269331074208514,-0.769849926801445,-0.8175528561329191,-0.6675111069087556,0.8682297321690813,0.6528805170492771,-0.9505258372833852,0.5575437443392877,-0.33878141320870936,-0.7144076270582556,-0.18229440366992844,0.7025669171471012,-0.6823116568980099,-0.19806504925707047,-0.22830967653529466,0.06992064431172018,-0.972474213553132,-0.7112976640432804,-0.6510557714886724,0.8205959214764407,-0.2533001117549466,0.36339451080621643
43,142.278334494658,0.14811442676966058,0.8587516346820216,-0.6905597744530871,0.5561155920709353,-0.27213972193378855,0.3019958565033183,0.8115433622085195,0.01022671634310579,-0.6620889280316626,-0.699086969690691,0.5912572672995515,-0.048607215607087695,-0.29444796067836987,0.15831314327513168,0.9435288102085835,-0.315948191034767,-0.6716929937377316,0.7514460659442193,-0.39393618219438564,-0.6349647593901301,0.9857774367211105,0.3374041050092802,-0.36637274762905747,0.6035568504180289,0.4519005896475865,-0.08726141513779229,0.61628100164114,-0.2446576640706576,-0.9618192377728983,-0.3289303903283496,0.7340615954918461,-0.8173630978359203,0.503433230647488,0.5311300787885749,-0.7076721329620994,0.6391077808431305,0.597046886595215,-0.6039830557813302,-0.8936272365245369,0.5721148579505482,-0.6571805114277833,0.3227916812824514,-0.6235761363769136,0.9426996186250451,-0.5938959791713107
42,142.79997142451614,0.768470440432635,0.8587516346820216,-0.5003094068769343,-0.1776804246716387,-0.11273278168883305,0.48118870416964565,0.845027469842295,-0.4421741928263374,-0.13852667969664068,-0.7459695622301319,0.707721325224949,-0.9766310784212091,-0.104933847889227,0.15831314327513168,0.8176447397214353,-0.12970833598197928,-0.6716929937377316,-0.09198486772328929,-0.39393618219438564,-0.6349647593901301,0.8439100096615944,0.969719353409294,-0.4483331161306139,-0.2505120673231267,0.7006906536489779,-0.4262672574823012,0.15644700685726942,-0.8658379392752571,-0.36671377128104143,0.3270656086734751,0.607798800846937,-0.004963456613644945,-0.844000916326436,0.56950108724959,-0.7127164933610668,0.8574975309242974,-0.026119978423295942,-0.6039830557813302,-0.8745836254230657,0.9505392387629557,-0.8324683195580787,0.3227916812824514,-0.10410855585648993,0.9608800444895427,0.03156703617319234
45,148.77397436287302,0.27236564537517327,0.8587516346820216,-0.5003094068769343,0.5561155920709353,-0.31814214870496993,0.48118870416964565,0.8115433622085195,-0.4421741928263374,-0.6620889280316626,-0.20887233451806086,0.19952872635743768,-0.8702450010050949,-0.104933847889227,0.15831314327513168,0.13301749848639943,-0.315948191034767,-0.2647803005871454,-0.08440909117338014,-0.39393618219438564,-0.5618809301435572,0.9857774367211105,0.969719353409294,0.47293117687394215,-0.6083927615863829,0.7889994913418035,0.27340847978613936,0.61628100164114,-0.8658379392752571,-0.9618192377728983,-0.8449210207069893,0.7340615954918461,-0.19150715746077196,-0.11246639008329573,0.56950108724959,-0.7127164933610668,0.9002336560594717,0.7515903618117543,-0.5389565050268987,-0.8936272365245369,0.5721148579505482,-0.8458816403124478,0.9012281834319307,-0.2574052597593104,0.4279660919922572,-0.8682608410394892
23,149.2577967007656,-0.7655639562487401,-0.4220338595657148,0.057505913383486984,-0.5422501891575497,-0.13337482699241254,0.05911737191087796,-0.7713238862658442,0.2821460894066319,-0.29581242365190275,-0.4582800761238047,0.7573924523733433,-0.4891312484770005,-0.16176476428068776,0.49306361398341814,0.05631104751939109,-0.22245305748968547,0.7343916218047846,-0.44869198172277913,-0.1644289390664052,-0.03192369778921833,-0.3636284093397545,-0.7166917110018511,-0.3197494720873896,0.42901190865540806,-0.3384060669294493,-0.7282233663542568,-0.6448502161669173,-0.9264496645769944,-0.16577483062471654,0.3135139777287519,0.6946408616669788,0.6669763516994527,0.6326870942192109,-0.555798575275821,0.9202918058660765,0.3992184649928838,0.09378249772350689,0.25360243571471397,-0.49622311925799023,-0.0284210714651969,-0.026581882495224973,0.8465596220156502,0.016358490270208526,0.5354862632780117,-0.3777559529314892
3,153.34313784488282,-0.05181869938966299,-0.3620223956578128,0.7950305301099565,-0.4131484151237975,0.5035294461701689,-0.7140453792388862,-0.4494053073902714,0.5321426683558661,0.4443241278276957,0.9970953744890936,0.9311101375609363,-0.3395298521358825,-0.46466780154263554,0.8748054665542404,-0.4695605421327945,-0.14166500597105747,0.5593784054908117,-0.26641118645050266,0.3681031350861248,-0.8188159437870943,0.1634145509931375,0.762417779194271,-0.7194042754631119,0.759482283888163,0.4429272549745227,0.7563407341802786,-0.4850292251362317,-0.6054511495570076,0.015802476340651683,0.7510381402038075,0.8257745188372845,-0.5195245045579937,0.28789502672996803,-0.5793497123306639,0.23943809575667685,0.4840088575355874,-0.8778064440797302,0.6923623222233668,0.5698524255555466,-0.3343663743028996,0.6568687492290401,0.41567770998046605,0.228533173598779,-0.18713522025909235,0.4660831193799857
22,157.91973069368498,-0.3246590463111635,-0.5895019147493799,-0.18509843736276899,-0.2578423654033134,-0.3941189951700319,0.6997963509063159,-0.6567310921242585,0.4265687820982047,-0.190610173737633,-0.4582800761238047,0.9691934052030877,-0.37852221374292894,-0.7522078569175662,0.49306361398341814,0.1372154426305623,0.3541543051885945,0.7202149867508085,-0.44869198172277913,0.09848793415752288,-0.03192369778921833,-0.5961299658079697,-0.7166917110018511,-0.3197494720873896,0.9338242611811549,-0.3384060669294493,-0.7282233663542568,-0.6448502161669173,-0.3664522939086674,-0.9939490328014025,0.35812339699947193,0.14201218704551422,0.6669763516994527,0.8896362027966336,-0.555798575275821,0.2770914599512122,0.041726973234763154,0.30642496087635185,0.3600955374014254,0.06372780209315954,0.7320328269814731,-0.05058929642597321,-0.06111631230541825,0.016358490270208526,0.4457648695042784,-0.3777559529314892
11,161.6883351296788,-0.23181462450990165,0.7393358336698999,0.8201289427144265,0.3609676905654886,-0.444933873979689,0.05169874717166523,-0.26204983183095865,0.9761693924052497,0.010133277546401143,0.007755678407243005,-0.017931257453447813,0.23815835445439393,0.8887249938827293,0.19244044842720065,0.2738270990388587,-0.7500983761439198,0.461650851295047,0.15778230412844363,-0.129613272780414,-0.9160692731464203,0.7485095542465794,-0.4751374153739665,-0.1668968761996643,0.8576875470648981,-0.11047246620748541,-0.004422480142724283,0.27157250304302205,0.04533903314621712,-0.24712591830979502,-0.8638460893875841,-0.40714633331509487,0.4294941362340259,0.743970998879123,0.6193070517263501,0.12556401505429804,-0.6572425164199982,0.3448683159583785,0.10398215900775987,0.05955404759516192,0.8086652343425835,-0.34770122313901786,0.5515549184111475,-0.6564679133016695,-0.567038258745685,0.06140366419545962
36,164.59121535306312,0.768470440432635,0.8587516346820216,-0.5003094068769343,0.5561155920709353,-0.31814214870496993,0.48118870416964565,-7.163923184871912e-05,-0.9438640480137208,-0.04049839356228191,-0.4642070571981112,0.06901831180736484,-0.8702450010050949,-0.4032063665658463,-0.1584104884726223,0.8176447397214353,-0.315948191034767,-0.6716929937377316,0.6124214356143671,-0.35859755283059447,-0.6349647593901301,0.9857774367211105,0.8626513456151186,-0.36637274762905747,0.05536542451193127,0.7889994913418035,-0.012826401156528222,0.7331355769043013,-0.8658379392752571,-0.8196972933589739,-0.5222345053517707,-0.03828651250205284,-0.1846014947801924,-0.3491997275481229,0.56950108724959,-0.7127164933610668,0.8574975309242974,0.597046886595215,-0.3754873862638909,-0.8936272365245369,0.5721148579505482,-0.41010864307736405,0.3227916812824514,0.35118224106718876,0.853122846758146,-0.18614798754735107
25,168.1769096834342,-0.7655639562487401,-0.5895019147493799,-0.6977825063523577,-0.44806185288300016,-0.10835675665466704,0.6997963509063159,-0.8253913872832472,-0.5524609044936435,-0.13139380304491388,0.21384232483942922,0.6241831019049942,-0.5723812679333221,-0.41533671959482155,0.49306361398341814,-0.11691013314028287,-0.22245305748968547,0.7661702806838828,-0.44869198172277913,0.09848793415752288,-0.03192369778921833,-0.014114818295687837,-0.9608377071886437,-0.3171974044695165,0.42901190865540806,-0.3583756206646074,0.0966873378382993,-0.6448502161669173,-0.3664522939086674,-0.8707057993399936,0.4475134944522092,0.4712279044143002,0.0813807799906654,0.5781018248805867,-0.555798575275821,0.2770914599512122,0.6963256786774801,0.9028336790360079,0.31330981918429335,-0.6298546091480635,0.7320328269814731,0.694871407328634,0.7730962556946417,0.31137631346556116,0.5354862632780117,-0.8292193762620894
49,176.50208463650853,-0.7655639562487401,-0.5895019147493799,0.057505913383486984,-0.2969886485301534,-0.06779786050714576,0.8461574423911602,-0.7693703450432776,-0.24278536300088338,0.27709617574382595,-0.4582800761238047,0.6241831019049942,-0.407793460839489,-0.8875836308266188,0.49306361398341814,0.1372154426305623,-0.22245305748968547,0.7202149867508085,-0.44869198172277913,-0.7486459486295043,-0.03192369778921833,-0.3636284093397545,-0.4441827840122733,-0.3197494720873896,0.42901190865540806,-0.3384060669294493,-0.7282233663542568,-0.6448502161669173,0.43073944841835865,-0.8707057993399936,0.35812339699947193,0.3441015223199262,0.6669763516994527,0.8896362027966336,-0.555798575275821,-0.03356912847487825,-0.13264810952001016,0.09378249772350689,0.3600955374014254,-0.6298546091480635,0.2838184917913764,-0.026581882495224973,0.8465596220156502,0.8764417449792214,0.5354862632780117,-0.3777559529314892
20,206.2240820488633,-0.7655639562487401,-0.5895019147493799,0.057505913383486984,-0.44806185288300016,0.5254345044185393,-0.01131621537188765,-0.1751575774997074,-0.5065531751186283,-0.36918779303787386,-0.4582800761238047,0.9190244125981955,-0.407793460839489,-0.8902011289508607,0.5207173988521965,0.30737472171453395,-0.22245305748968547,0.10668184114516333,-0.44869198172277913,0.09848793415752288,0.5637040842977459,-0.8293780424484231,0.06262200238920168,-0.3197494720873896,0.42901190865540806,-0.3223984741479373,-0.7282233663542568,0.18043690114054067,-0.9962760808590639,-0.7861056180747941,0.5543285923103114,0.14201218704551422,0.6669763516994527,0.8896362027966336,-0.555798575275821,0.14827363233198687,-0.6961455277915409,0.09378249772350689,0.5188158324283538,-0.1476414434253316,0.7320328269814731,-0.3730914807027771,0.8697329411319161,0.6032753976453042,0.3306315878595367,-0.32647037594412043
46,214.24240873251773,0.768470440432635,0.7528888663065019,0.1450140733440688,-0.1745092682894197,-0.03215150105387632,0.48118870416964565,0.8115433622085195,0.018633089823297366,-0.7602041550324441,-0.7459695622301319,-0.26022409319636675,-0.32647792310485246,-0.18169917959481086,0.15831314327513168,0.8256670252500491,-0.315948191034767,-0.6716929937377316,-0.08440909117338014,-0.39393618219438564,-0.7016850069778631,0.9857774367211105,0.7970687146938547,-0.36637274762905747,-0.2505120673231267,0.7889994913418035,-0.324130948706979,0.859720486626866,-0.6978254181946326,-0.8728909833827059,-0.3289303903283496,0.7340615954918461,-0.8173630978359203,-0.3491997275481229,0.8175637160898863,-0.7127164933610668,0.8574975309242974,0.10806117168572626,-0.6039830557813302,-0.5326413556587495,0.4166833423624787,-0.8324683195580787,0.3256709311464858,-0.3486533313551201,0.5767132034263294,-0.18614798754735107
37,220.67357038869153,-0.7655639562487401,0.11747397978637308,0.17381653926970309,-0.27715691965973843,-0.06779786050714576,0.6997963509063159,-0.6567310921242585,0.21245957835326879,-0.29581242365190275,-0.4582800761238047,0.6241831019049942,-0.2188989271968963,-0.8902011289508607,0.49306361398341814,0.7328517086191293,-0.22245305748968547,0.7202149867508085,-0.31170192552090115,-0.7048433477107604,0.5694529965737174,0.4283164627061409,-0.7166917110018511,-0.3197494720873896,-0.03720226330614684,-0.40112728364128336,-0.1944042202675884,-0.6448502161669173,-0.3664522939086674,-0.5554328091800823,-0.4735309723394794,0.14201218704551422,0.6669763516994527,0.8896362027966336,-0.555798575275821,0.2770914599512122,-0.361200237152818,0.09378249772350689,0.3600955374014254,-0.6298546091480635,0.9285817778783756,-0.24262821200591878,0.32123645141397694,-0.2689948020525279,0.5354862632780117,-0.3777559529314892
38,229.9756232529267,-0.7655639562487401,-0.5895019147493799,-0.7459861659239986,-0.44806185288300016,-0.06779786050714576,0.45622541720849785,-0.9322499017938456,-0.8027393192453642,0.5485768851370674,-0.4582800761238047,0.6241831019049942,-0.407793460839489,-0.8902011289508607,0.49306361398341814,0.6544985491197517,-0.22245305748968547,0.6488925709093247,-0.44869198172277913,0.09848793415752288,-0.03192369778921833,-0.3636284093397545,-0.7166917110018511,-0.3197494720873896,0.42901190865540806,-0.2771871433812043,0.03521118017979585,0.22095314379030873,-0.3664522939086674,-0.6103319970318497,0.6334817402132775,-0.30207152935011816,0.4897170576189942,0.4859223129791683,-0.6753639336541836,-0.28641124639048976,-0.3536798259836802,0.09378249772350689,0.3600955374014254,-0.6298546091480635,0.7320328269814731,0.09877007804721827,0.8465596220156502,0.016358490270208526,0.5354862632780117,-0.4137714027147734
10,233.83693302157127,-0.09077409250362267,-0.9283967903096019,-0.08441220612851652,0.7670145984303567,-0.8944736955314996,0.8079111536681192,-0.5384903221551294,0.6464549046071573,0.3846147111133422,0.8509303931032655,0.4114896718487504,-0.6269438703535892,0.2050069722502572,-0.028071601927699086,-0.9410513498872443,0.9678668551629819,-0.5218238215815614,-0.023547437762038714,-0.2766942228582313,0.4627544753463093,-0.7034624452643319,0.8024984319233397,0.34713229092658127,-0.828978380033317,0.3516056408687749,0.12391859265276528,0.9373098441028476,0.9953426003806076,-0.6561818788082332,-0.35708613005407364,0.49097414976522047,-0.8209057181581729,-0.8610898206130063,0.5292350599285438,0.7568760322954409,0.9052179479064655,-0.08968196977977083,0.5505142162066157,-0.4963791049136035,-0.7610394035199259,-0.5939818665650975,0.7504096641985916,0.6931719912178465,0.3195528732383286,-0.5452841374338481
32,262.16049349653423,-0.10307096236911473,-0.5895019147493799,0.057505913383486984,-0.44806185288300016,-0.06779786050714576,0.4557018722187094,-0.35980835420934265,-0.3636908283856214,-0.15434791567908102,0.019018421894690496,0.6241831019049942,-0.53144020269945,-0.8902011289508607,0.009291971645480457,-0.18809403208844166,-0.22245305748968547,0.7202149867508085,-0.08370279102882527,-0.06494691049326562,-0.03192369778921833,-0.0028379888025091837,-0.7166917110018511,-0.3197494720873896,0.42901190865540806,-0.3384060669294493,-0.6039632703829747,-0.6448502161669173,0.3256295935559963,-0.8707057993399936,0.35812339699947193,0.14201218704551422,0.6669763516994527,0.5619934506127644,-0.555798575275821,0.2803942356081679,0.041726973234763154,0.1420276636792508,0.32734281697034606,-0.6298546091480635,0.9530289282868891,0.420235767545843,0.8465596220156502,0.5075157122188183,0.5354862632780117,-0.2664300763430998
39,272.5039297788756,-0.7655639562487401,-0.5895019147493799,0.7109601490728079,-0.2076604366542063,-0.06779786050714576,0.446553993570185,0.22494788631655216,0.0005567242188275756,0.27977920905948483,-0.9524409066972646,-0.2794016736544609,-0.5453826039522036,-0.8902011289508607,0.49306361398341814,0.1372154426305623,-0.015389316369518569,0.7202149867508085,-0.5923596546362653,0.09848793415752288,-0.03192369778921833,0.24777742776653744,-0.7166917110018511,-0.3197494720873896,0.42901190865540806,-0.2574261284193132,-0.6127542425050698,0.2292719686102127,0.33720689716605357,-0.8707057993399936,0.35812339699947193,0.14201218704551422,0.6669763516994527,0.28895486635349243,-0.555798575275821,-0.2336985661387756,-0.053777601223084615,-0.7374400430274379,0.3600955374014254,-0.6298546091480635,0.5158821422020734,-0.026581882495224973,0.8465596220156502,0.5175965079015543,0.48349322957335406,-0.4335669185934198
